player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Trendon Watford,watfotr01,2023,2475,1182,-1.724580058,-0.351360534,-2.075940593,-2.445793528,-2.395095096,-4.840888624,-1.984766265,-0.736711517,-2.721477782,0.01714424,0.01714424,0,-2.343090696,-1.049441182,-3.392531878,-0.330173883
Peyton Watson,watsope01,2023,412,200,-3.010307454,-3.464112157,-6.474419611,-7.264867314,-0.344750881,-7.609618195,-4.108800943,-3.036053528,-7.144854471,-0.448468126,-0.422905409,-0.025562718,-3.093113351,-4.196324729,-7.28943808,-0.185005329
Blake Wesley,weslebl01,2023,1460,669,-7.503710469,-4.508879536,-12.01259,-4.586043482,-0.618846062,-5.204889544,-7.289417506,-3.908103382,-11.19752089,-2.89819456,-2.89819456,0,-6.750541357,-4.405164934,-11.15570629,0.51999964
Russell Westbrook,westbru01,2023,5031,2318,0.499146737,-2.080833058,-1.581686321,1.006990413,-1.929747051,-0.922756638,0.641238488,-2.181677298,-1.54043881,1.488571577,1.370486786,0.118084791,0.416220593,-2.120433223,-1.704212631,1.999244266
Coby White,whiteco01,2023,3640,1730,0.552319077,0.128549373,0.68086845,2.887456108,0.675234257,3.562690365,1.092354081,0.213338191,1.305692272,3.572817008,3.572817008,0,0.341502488,0.417307745,0.758810233,-0.195215596
Derrick White,whitede01,2023,6019,2912,1.669940071,2.556053978,4.225994049,2.67024701,1.771956213,4.442203223,1.938167754,2.509252864,4.447420618,10.68571031,9.090793259,1.594917051,1.965707969,2.698546619,4.664254588,-0.359408153
Jack White,whiteja03,2023,134,66,0.529397595,0.765634205,1.2950318,-4.848806245,6.951392668,2.102586423,-0.59232575,2.065098441,1.472772691,0.141648355,0.141648355,0,1.129019653,0.184461278,1.313480931,-0.387506645
Joe Wieskamp,wieskjo01,2023,108,50,-6.087801284,2.088412991,-3.999388293,-9.642419331,14.26471736,4.622298032,-7.258368979,4.721960266,-2.536408713,0.005444655,0.005444655,0,-6.42388258,0.869357307,-5.554525273,-0.075176386
Aaron Wiggins,wiggiaa01,2023,2767,1297,-1.040897196,-0.57384369,-1.614740886,0.444847557,-0.128826543,0.316021014,-0.806134741,-0.530024868,-1.336159609,0.93106758,0.93106758,0,-1.593389695,-0.26755047,-1.860940165,-0.486790433
Andrew Wiggins,wiggian01,2023,3527,1632,-1.21813967,1.25756024,0.03942057,0.693976269,3.550906431,4.2448827,-0.90170054,1.786425209,0.884724668,3.067326354,2.113508378,0.953817975,-0.606759581,1.844030749,1.237271168,0.40491064
Lindell Wigginton,wiggili01,2023,188,87,-0.247669346,-2.178729667,-2.426399014,-3.217655037,-6.194832684,-9.412487721,-0.878560458,-3.192720865,-4.071281323,-0.060121679,-0.060121679,0,1.710936176,-4.787175982,-3.076239806,2.535791128
Alondes Williams,willial06,2023,11,5,-28.10748548,-19.96670836,-48.07419385,-18.72437653,-11.58183253,-30.30620906,-27.87341656,-19.49235038,-47.36576694,-0.119286465,-0.119286465,0,-27.1064859,-17.08223467,-44.18872057,4.85239393
Donovan Williams,willido02,2023,9,4,22.4311679,15.29776039,37.7289283,20.17591148,35.35745118,55.53336266,23.28730024,20.44834018,43.73564042,0.094874757,0.094874757,0,13.93412575,10.71527725,24.64940299,0.00730078
Grant Williams,willigr01,2023,4780,2310,-0.6561344,-0.804298905,-1.460433306,-0.092328282,0.378046982,0.2857187,-0.606583346,-0.651227963,-1.257811309,1.734039291,1.829936097,-0.095896806,-0.79336617,-0.476273978,-1.269640148,-0.700371496
Jalen Williams,willija06,2023,4906,2276,-0.412584898,-1.266875643,-1.679460541,-1.740818255,1.116062572,-0.624755683,-0.720326784,-0.859610839,-1.579937623,1.359997937,1.359997937,0,-1.263408216,0.157943636,-1.10546458,0.096849996
Jaylin Williams,willija07,2023,1946,914,-2.649681351,3.540781704,0.891100353,-1.503915693,-3.611449499,-5.115365192,-2.589394623,2.248507152,-0.340887471,1.123596067,1.123596067,0,-3.27955235,3.228089207,-0.051463143,0.015450318
Jeenathan Williams,willije02,2023,283,127,-0.032607387,-7.484615484,-7.51722287,0.942898452,-3.417443029,-2.474544577,0.185195049,-7.029016966,-6.843821917,-0.266031362,-0.266031362,0,-1.314855961,-5.67162375,-6.986479711,0.293194039
Kenrich Williams,willike04,2023,2559,1206,-0.899119341,2.398359904,1.499240563,1.406680391,4.244486516,5.651166907,-0.4835139,2.919460665,2.435946765,3.167995427,3.167995427,0,-0.603224181,2.140425446,1.537201265,-0.725117883
Mark Williams,willima07,2023,1766,828,-2.218394287,0.844013777,-1.37438051,-2.74115867,1.966174783,-0.774983887,-2.402782434,1.142763057,-1.260019377,0.628454888,0.628454888,0,-3.02460137,0.856891837,-2.167709533,-0.157288554
Patrick Williams,willipa01,2023,4842,2323,-2.807547349,0.324551483,-2.482995867,-0.772042842,-3.052765648,-3.82480849,-2.53184437,-0.392393176,-2.924237546,-0.205974105,-0.205974105,0,-2.703945127,0.138353014,-2.565592113,-0.259681128
Robert Williams III,williro04,2023,2571,1241,-0.508286781,1.750377848,1.242091067,2.323931782,1.18231409,3.506245873,0.03097859,1.702552748,1.733531338,2.878392211,1.517006187,1.361386025,-0.550330141,0.581822484,0.031492343,-0.4067064
Vince Williams Jr.,willivi01,2023,224,105,-6.78318704,-1.016568311,-7.799755351,-12.92975524,4.539423886,-8.390331357,-8.477467021,0.047326162,-8.430140859,-0.30694647,-0.30694647,0,-5.446192582,-0.086687124,-5.532879707,0.880882759
Zion Williamson,willizi01,2023,2035,956,3.330086882,-0.083381734,3.246705148,1.54165036,2.407120787,3.948771147,3.171237284,0.415997485,3.587234769,3.123113347,3.123113347,0,1.813296468,-0.47928645,1.334010018,1.048835714
Ziaire Williams,willizi02,2023,1227,573,-4.882168256,3.948965232,-0.933203024,-4.034159012,-1.788082613,-5.822241626,-5.013454249,2.94549692,-2.067957329,0.195788258,0.357506545,-0.161718287,-4.287643667,2.236803595,-2.050840072,0.856584413
Dylan Windler,windldy01,2023,18,10,4.686895504,3.870748516,8.55764402,-8.070220237,12.60080064,4.530580401,2.225311151,5.792381114,8.017692265,0.055784803,0.055784803,0,6.099937916,5.839416593,11.93935451,1.558075692
Justise Winslow,winslju01,2023,1599,776,-2.455038165,1.345978321,-1.109059844,-2.473279677,1.705777021,-0.767502656,-2.624263105,1.545481273,-1.078781832,0.656447735,0.656447735,0,-2.893088741,1.15014094,-1.742947801,-0.795214857
James Wiseman,wisemja01,2023,1829,867,-3.762450997,-3.966160093,-7.72861109,-3.630904767,-5.01644032,-8.647345086,-3.915448905,-4.390699507,-8.306148412,-2.458143407,-2.458143407,0,-3.403487721,-4.146503621,-7.549991342,0.061689802
Christian Wood,woodch01,2023,3518,1738,0.376838135,-0.177543722,0.199294413,0.184313386,-3.045735951,-2.861422565,0.329350476,-0.761358409,-0.432007933,2.051788407,2.051788407,0,0.693406558,-1.065276314,-0.371869756,-0.178703507
Delon Wright,wrighde01,2023,2530,1221,0.901650956,3.681013166,4.582664122,1.243783871,1.664353052,2.908136924,1.029985707,3.497377527,4.527363234,4.474903964,4.474903964,0,0.970569192,4.067845632,5.038414823,-1.303791538
McKinley Wright IV,wrighmc01,2023,700,335,-2.246626327,-0.192219357,-2.438845684,-6.857698613,-4.113031562,-10.97073018,-3.368488829,-0.994203544,-4.362692373,-0.273215965,-0.273215965,0,-4.051351319,-1.850018193,-5.901369512,-0.886378447
Gabe York,yorkga01,2023,118,56,-0.667031697,0.734383798,0.067352101,7.624883142,1.768757484,9.393640626,1.037717781,1.046157302,2.083875083,0.138805159,0.138805159,0,1.91709667,2.128934462,4.046031132,0.508322977
Thaddeus Young,youngth01,2023,1642,795,-1.676275809,0.902197073,-0.774078736,-2.849650062,-2.873148671,-5.722798733,-2.04853601,0.155497488,-1.893038522,0.348919319,0.348919319,0,-1.652834392,1.012841261,-0.639993131,0.385634815
Trae Young,youngtr01,2023,6020,2771,5.777631144,-1.040471245,4.737159899,-0.108235619,-0.287140549,-0.395376168,4.871940089,-0.925286168,3.946653921,9.767049606,9.121715652,0.645333954,5.375345757,-1.720145785,3.655199972,3.000058628
Omer Yurtseven,yurtsom01,2023,212,99,0.061111633,-7.201143405,-7.140031773,2.697150567,-4.39387474,-1.696724174,0.607970377,-7.089558089,-6.481587711,-0.190396002,-0.095551446,-0.094844556,0.069577512,-6.208724885,-6.139147373,0.268437511
Cody Zeller,zelleco01,2023,801,391,-2.844900153,-3.861699821,-6.706599975,0.774587769,-2.275712599,-1.50112483,-2.271126525,-3.793704742,-6.064831267,-0.667250996,-0.488714204,-0.178536792,-2.30568368,-3.094797478,-5.400481158,0.312224245
Ivica Zubac,zubaciv01,2023,4721,2300,-2.461412189,2.42943029,-0.0319819,0.189055147,-2.287531887,-2.09847674,-2.062918329,1.589006206,-0.473912123,2.665541222,2.150219594,0.515321627,-2.522288661,1.882624869,-0.639663793,-0.578707281
